cancer,canonical_drug_id,ev_composite_0_10,graph_luad_caveat,mandatory_caveat,drug_name,canonical_smiles,score_clinical_trial,score_approved_ind,score_ext_response,ctrp_partial_evidence_flag,ctrp_partial_evidence_note,admet_tier,admet_risk_flag_count,hERG_risk,Ames_risk,DILI_risk,hepatotoxicity_risk,admet_tier_score,ev_norm,final_priority_score,final_recommendation_tier,admet_status_22assay,critical_pass_count_22,total_pass_count_22,rank,drug_level_score,final_rank_by_cancer,final_rank_overall,recommended_action,key_ev_evidence_summary,key_admet_risk_summary,external_response_unavailable_caveat,drug_repurposing_category,category_priority,category_rule,recommended_for_repurposing
brca,1847,6.0,False,,BEN,C1=CC=C(C=C1)C(=N)N,0,2,3,False,,A,0,low,low,low,low,1.0,0.7,0.8049999999999999,Priority 1,WARNING,1,10,5,5.52592408768257,1,1,Advance with highest priority for validation,EV multiresponse (GDSC+PRISM); score_ext_response=3,hERG=low | Ames=low | DILI=low,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
brca,1089,8.0,False,,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,2,2,0,False,,C,2,low,high,moderate,low,0.4,0.9,0.7250000000000001,Priority 1,WARNING,2,11,4,5.577161344702366,2,3,Advance with highest priority for validation,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=high | DILI=moderate,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
brca,1806,8.0,False,,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,2,2,0,False,,C,2,low,high,moderate,low,0.4,0.9,0.7250000000000001,Priority 1,WARNING,2,11,7,5.268382980399586,3,5,Advance with highest priority for validation,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=high | DILI=moderate,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
brca,1507,7.0,False,,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,2,2,2,False,,C,4,moderate,moderate,high,moderate,0.4,0.8,0.66,Priority 2,PASS,4,14,6,5.317588207291356,4,9,Advance with focused validation plan,EV multiresponse (GDSC+PRISM); score_ext_response=2,hERG=moderate | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
brca,1375,8.0,False,,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,2,2,0,False,,D,2,low,high,high,low,0.1,0.9,0.6200000000000001,Priority 2,WARNING,1,9,2,6.8882608780791,5,12,Advance with focused validation plan,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
brca,1073,3.0,False,,5-Fluorouracil,FC1=CNC(=O)NC1=O,2,0,1,False,,C,1,low,low,high,low,0.4,0.4,0.4,Backup,WARNING,3,10,8,5.1948658760674435,6,19,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=1,hERG=low | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
brca,2438,1.0,False,,ascorbate (vitamin C),C(C(C1C(=C(C(=O)O1)[O-])O)O)O,1,0,0,False,,B,1,low,low,moderate,low,0.7,0.2,0.375,Backup,WARNING,2,13,1,9.954418318753856,7,24,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=low | DILI=moderate,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
brca,1373,4.0,False,,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,1,2,0,False,,D,2,high,low,high,low,0.1,0.5,0.36,Backup,WARNING,3,12,10,5.0027772280372265,8,25,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
brca,1925,1.0,False,,GDC0810,CCC(=C(C1=CC=C(C=C1)C=CC(=O)O)C2=CC3=C(C=C2)NN=C3)C4=C(C=C(C=C4)F)Cl,1,0,0,False,,C,2,moderate,low,high,low,0.4,0.2,0.27,Backup,WARNING,3,14,24,-1000000000.0,9,31,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
brca,1177,2.0,False,,Niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,2,0,0,False,,D,4,high,moderate,high,high,0.1,0.3,0.23,Backup,WARNING,2,12,15,4.826517678969729,10,34,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
brca,1736,2.0,False,,Selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,2,0,0,False,,D,3,moderate,high,high,low,0.1,0.3,0.23,Backup,PASS,4,14,25,-1000000000.0,11,35,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
brca,2360,0.0,False,,THR-101,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F,0,0,0,False,,C,2,low,moderate,high,low,0.4,0.1,0.205,Backup,PASS,4,15,9,5.044570273561187,12,40,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
brca,1629,1.0,False,,ML323,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,0,0,1,False,,D,3,high,moderate,high,low,0.1,0.2,0.165,Hold,WARNING,3,15,11,4.9590344846802275,13,45,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=1,hERG=high | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
brca,1061,0.0,False,,SB590885,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,0,0,0,False,,D,4,high,high,high,high,0.1,0.1,0.1,Hold,PASS,4,16,29,-1000000000.0,14,49,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
brca,1630,0.0,False,,Entospletinib,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,0,0,0,False,,D,4,high,high,high,moderate,0.1,0.1,0.1,Hold,PASS,4,14,23,-1000000000.0,15,53,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
crc,1020,8.0,False,,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,2,2,0,False,,C,2,low,moderate,high,low,0.4,0.9,0.7250000000000001,Priority 1,PASS,4,13,6,5.467791195521722,1,2,Advance with highest priority for validation,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
crc,1512,8.0,False,,Cyclophosphamide,O.O=P1(N(CCCl)CCCl)NCCCO1,2,2,0,False,,C,1,low,high,low,low,0.4,0.9,0.7250000000000001,Priority 1,WARNING,2,13,3,5.55198872178371,2,4,Advance with highest priority for validation,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=high | DILI=low,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
crc,1813,9.0,False,,Fludarabine,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,2,2,0,False,,D,3,low,high,high,moderate,0.1,1.0,0.685,Priority 1,WARNING,3,12,5,5.480882863926768,3,8,Advance with highest priority for validation,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
crc,2498,1.0,False,,alpha-lipoic acid,OC(=O)CCCC[C@@H]1CCSS1,1,0,0,False,,A,0,low,low,low,low,1.0,0.2,0.48,Watchlist,WARNING,1,10,1,7.610182965002853,4,15,Track and validate selectively,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=low | DILI=low,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
crc,2043,3.0,False,,BIBR-1532,CC(=CC(=O)NC1=CC=CC=C1C(=O)O)C2=CC3=CC=CC=C3C=C2,0,0,3,False,,C,1,low,low,high,low,0.4,0.4,0.4,Backup,WARNING,1,9,7,5.168885126330407,5,20,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=3,hERG=low | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
crc,1005,2.0,False,,Cisplatin,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],2,0,0,False,,C,1,low,high,low,low,0.4,0.3,0.3349999999999999,Backup,WARNING,1,13,26,-1000000000.0,6,26,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=high | DILI=low,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
crc,1017,1.0,False,,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1,0,0,False,,C,1,low,low,high,low,0.4,0.2,0.27,Backup,PASS,4,16,13,-1000000000.0,7,27,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
crc,1931,1.0,False,,MIRA-1,CCC(=O)OCN1C(=O)C=CC1=O,0,0,1,True,CTRP partial signal score=3; match_type=canonical_smiles_exact,C,2,low,high,moderate,low,0.4,0.2,0.27,Backup,WARNING,2,11,2,5.899061043513992,8,32,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=1,hERG=low | Ames=high | DILI=moderate,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
crc,1625,0.0,False,,RVX-208,CC1=CC(=CC(=C1OCCO)C)C2=NC3=C(C(=CC(=C3)OC)OC)C(=O)N2,0,0,0,False,,C,3,moderate,moderate,high,low,0.4,0.1,0.205,Backup,PASS,4,16,10,5.076140872924745,9,39,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
crc,1175,1.0,False,,Rucaparib,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,1,0,0,False,,D,4,high,high,high,high,0.1,0.2,0.165,Hold,PASS,4,15,23,-1000000000.0,10,42,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
crc,1557,1.0,False,,LCL161,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1,1,0,0,False,,D,3,high,moderate,high,low,0.1,0.2,0.165,Hold,WARNING,3,13,9,5.0842868829282795,11,44,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
crc,1799,1.0,False,,Ibrutinib,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1,0,0,False,,D,3,high,moderate,high,low,0.1,0.2,0.165,Hold,WARNING,3,13,16,-1000000000.0,12,46,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=moderate | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
crc,1093,0.0,False,,GSK1904529A,CCC1=CC(=C(C=C1N2CCC(CC2)N3CCN(CC3)S(=O)(=O)C)OC)NC4=NC=CC(=N4)C5=C(N=C6N5C=CC=C6)C7=CC(=C(C=C7)OC)C(=O)NC8=C(C=CC=C8F)F,0,0,0,False,,D,3,high,low,high,high,0.1,0.1,0.1,Hold,PASS,4,16,22,-1000000000.0,13,50,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
crc,1720,0.0,False,,AZD5991,Cc1c2c(nn1C)CSCc1cc(n(C)n1)CSc1cc(c3ccccc3c1)OCCCc1c(C(=O)O)n(C)c3c-2c(Cl)ccc13,0,0,0,False,,D,3,high,low,high,moderate,0.1,0.1,0.1,Hold,PASS,4,15,20,-1000000000.0,14,54,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=high | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
crc,1996,0.0,False,,MIM1,CC1=CSC(=NC2CCCCC2)N1N=CC3=C(C(=C(C=C3)O)O)O,0,0,0,False,,D,3,moderate,high,high,low,0.1,0.1,0.1,Hold,PASS,4,14,27,-1000000000.0,15,56,Hold pending stronger evidence,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
luad,1018,6.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,2,1,0,False,,B,2,low,moderate,moderate,low,0.7,0.7,0.7,Priority 1,WARNING,2,12,3,5.0746322509515345,1,7,Advance with highest priority for validation,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=moderate | DILI=moderate,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
luad,1578,7.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,Leflunomide,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,1,2,1,False,,C,1,low,low,high,low,0.4,0.8,0.66,Priority 2,WARNING,3,14,6,4.9488010106463864,2,10,Advance with focused validation plan,EV multiresponse (GDSC+PRISM); score_ext_response=1,hERG=low | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,current_use_same_cancer,3,approved_plus_trials,False
luad,2499,4.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,N-acetyl cysteine,CC(=O)N[C@@H](CS)C(O)=O,2,0,3,False,,B,1,low,moderate,low,low,0.7,0.5,0.57,Watchlist,WARNING,2,11,1,9.3845582065434,3,14,Track and validate selectively,EV multiresponse (GDSC+PRISM); score_ext_response=3,hERG=low | Ames=moderate | DILI=low,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
luad,1814,5.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,Nelarabine,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0,2,0,False,,D,3,low,high,high,moderate,0.1,0.6,0.425,Backup,WARNING,3,13,2,5.79743081228656,4,17,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=low | Ames=high | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
luad,1200,1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,2,0,0,False,,B,1,moderate,low,low,low,0.7,0.2,0.375,Backup,WARNING,2,12,25,-1000000000.0,5,22,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=low | DILI=low,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
luad,1816,1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,2,0,0,False,,B,1,moderate,low,low,low,0.7,0.2,0.375,Backup,WARNING,2,12,22,-1000000000.0,6,23,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=low | DILI=low,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
luad,1043,1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,JNK Inhibitor VIII,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,0,0,2,False,,C,2,moderate,low,high,low,0.4,0.2,0.27,Backup,PASS,4,17,7,4.947578159964503,7,29,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=2,hERG=moderate | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,needs_manual_review,4,weak_signal_or_uncertain_mapping,False
luad,1853,1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,OF-1,CC1=C(C=CC(=C1)Br)S(=O)(=O)NC2=CC3=C(C=C2OC)N(C(=O)N3C)C,2,0,0,False,,C,2,moderate,low,high,low,0.4,0.2,0.27,Backup,WARNING,3,14,15,-1000000000.0,8,30,Keep as backup candidate,EV multiresponse (GDSC+PRISM); score_ext_response=0,hERG=moderate | Ames=low | DILI=high,GDSC+PRISM integrated in main EV; CTRP retained as partial evidence note due to limited confirmed mapping.,indication_expansion_candidate,1,signal_with_some_clinical_anchor,True
